,MAE,RMSE
HDFCBANK,0.01106,0.01682
POWERGRID,0.01327,0.01726
HINDUNILVR,0.01384,0.01859
ITC,0.0134,0.01923
BAJAJ-AUTO,0.01497,0.01941
HEROMOTOCO,0.01482,0.02005
HDFC,0.01521,0.02018
ULTRACEMCO,0.01506,0.02021
SHREECEM,0.01549,0.02026
NESTLEIND,0.01549,0.02036
DRREDDY,0.01472,0.02045
NTPC,0.01551,0.02047
TCS,0.01409,0.02049
COALINDIA,0.01615,0.02107
MARUTI,0.01543,0.0213
LT,0.01485,0.02198
BHARTIARTL,0.01612,0.022
ASIANPAINT,0.01313,0.02314
CIPLA,0.01867,0.02331
HCLTECH,0.01511,0.02403
ONGC,0.01753,0.02452
GRASIM,0.01491,0.02481
TITAN,0.0175,0.02486
INDUSINDBK,0.01736,0.02518
BAJAJFINSV,0.01918,0.02548
TECHM,0.01673,0.02581
TATASTEEL,0.02015,0.02611
IOC,0.01761,0.02726
GAIL,0.01851,0.02729
BRITANNIA,0.01681,0.02754
ZEEL,0.01973,0.02755
ICICIBANK,0.01805,0.02785
ADANIPORTS,0.02064,0.02797
AXISBANK,0.01764,0.02814
RELIANCE,0.01888,0.02831
SUNPHARMA,0.01836,0.02877
SBIN,0.01801,0.02924
HINDALCO,0.02233,0.0294
UPL,0.02157,0.02948
WIPRO,0.02105,0.03005
BAJFINANCE,0.02006,0.03227
JSWSTEEL,0.02206,0.03244
TATAMOTORS,0.02294,0.03272
INFY,0.02377,0.03469
VEDL,0.02684,0.03689
EICHERMOT,0.02821,0.0397
KOTAKBANK,0.03257,0.06106
BPCL,0.03807,0.06785
